timestamp,temperature_2m,relative_humidity_2m,rain,wind_speed_10m,cloud_cover,ghi,direct_normal_irradiance,diffuse_radiation,ghi_clearsky,pv_power_predicted
2024-01-15 18:00:00,26.2,88,0.1,9.6,100,143.0,35.1,129.0,194.6815395716985,142.3136
2024-01-15 19:00:00,25.9,91,0.0,8.0,100,87.0,136.2,64.0,4.610468749196932,86.68679999999999
2024-01-16 08:00:00,24.3,95,0.0,9.0,100,25.0,17.7,23.0,85.28327979091054,25.069999999999997
2024-01-16 09:00:00,24.0,98,8.0,3.9,100,54.0,6.8,52.0,328.06846391700276,54.216
2024-01-16 10:00:00,24.6,96,1.7,4.8,100,109.0,5.9,106.0,563.5387175194436,109.1744
2024-01-16 11:00:00,25.5,93,1.4,7.1,100,191.0,44.7,160.0,754.3423638329429,190.618
2024-01-16 12:00:00,26.4,88,0.9,12.6,100,349.0,81.0,282.0,883.0338706749319,347.0456
2024-01-16 13:00:00,26.3,89,0.5,13.6,100,226.0,11.1,216.0,939.4225464976619,224.8248
2024-01-16 14:00:00,28.2,80,0.7,16.5,100,611.0,268.6,364.0,919.2319486414533,603.1791999999999
2024-01-16 15:00:00,28.2,80,0.2,14.8,100,497.0,142.3,373.0,823.9724839408323,490.6384
2024-01-16 16:00:00,28.8,77,0.1,15.7,100,486.0,161.1,363.0,660.9704435925887,478.6128
2024-01-16 17:00:00,28.6,74,0.8,16.9,100,427.0,378.3,199.0,443.8395363049506,420.8512
2024-01-16 18:00:00,27.1,83,0.8,12.4,100,188.0,114.9,142.0,196.67892165963835,186.4208
2024-01-16 19:00:00,26.1,88,0.0,12.8,100,63.0,17.6,60.0,4.998152666595224,62.7228
2024-01-17 08:00:00,24.2,96,0.0,9.0,100,14.0,0.0,14.0,84.19438259807382,14.044800000000002
2024-01-17 09:00:00,26.3,88,0.1,16.6,100,148.0,105.9,117.0,327.0664426185225,147.2304
2024-01-17 10:00:00,26.7,87,0.3,15.0,100,201.0,82.2,159.0,562.9902735250553,199.6332
2024-01-17 11:00:00,27.7,84,0.5,15.4,100,310.0,80.8,254.0,754.3268870558433,306.652
2024-01-17 12:00:00,26.9,85,0.7,20.1,100,381.0,105.1,294.0,883.5571973920628,378.1044
2024-01-17 13:00:00,27.8,81,0.3,19.7,100,466.0,166.8,315.0,940.4432529778536,460.7808
2024-01-17 14:00:00,28.4,79,0.2,17.6,100,622.0,218.2,421.0,920.6702048662813,613.5408
2024-01-17 15:00:00,27.3,82,1.6,20.4,100,527.0,209.6,344.0,825.7167986187612,522.1516
2024-01-17 16:00:00,27.4,84,0.3,12.4,100,420.0,166.0,293.0,662.883800260894,415.968
2024-01-17 17:00:00,27.0,82,2.6,14.7,100,427.0,289.4,252.0,445.7597206274938,423.584
2024-01-17 18:00:00,26.8,85,0.2,11.2,100,177.0,44.8,159.0,198.36853642475396,175.72560000000001
2024-01-17 19:00:00,25.0,91,4.0,5.6,100,41.0,23.3,37.0,5.362644846670639,41.0
2024-01-18 08:00:00,24.1,95,0.0,11.0,100,27.0,35.7,23.0,83.15596107773274,27.0972
2024-01-18 09:00:00,26.0,90,0.1,15.0,100,146.0,85.6,121.0,326.1252548449623,145.416
2024-01-18 10:00:00,27.2,85,0.0,15.4,97,337.0,260.6,204.0,562.5018231216146,334.0344
2024-01-18 11:00:00,28.4,79,0.1,17.4,100,556.0,455.8,240.0,754.3652288242641,548.4384
2024-01-18 12:00:00,28.7,74,0.2,18.8,100,546.0,246.3,342.0,884.1242702071588,537.9191999999999
2024-01-18 13:00:00,29.0,78,0.1,16.3,100,580.0,194.1,404.0,941.4947305217386,570.72
2024-01-18 14:00:00,27.1,84,7.8,17.7,100,555.0,139.9,426.0,922.1243838362018,550.338
2024-01-18 15:00:00,27.8,85,1.1,10.2,100,439.0,97.2,354.0,827.4614381855116,434.08320000000003
2024-01-18 16:00:00,26.7,85,6.9,9.4,100,302.0,43.0,269.0,664.7823757727122,299.9464
2024-01-18 17:00:00,26.6,86,0.9,14.0,100,279.0,52.8,247.0,447.6520937872776,277.2144
2024-01-18 18:00:00,25.8,87,0.8,15.7,100,168.0,47.0,149.0,200.02353212655314,167.4624
2024-01-18 19:00:00,25.3,90,0.0,8.7,100,60.0,23.1,56.0,5.7311609942531945,59.928000000000004
2024-01-19 08:00:00,24.2,98,0.1,8.7,100,17.0,0.0,17.0,82.1682868224098,17.0544
2024-01-19 09:00:00,26.0,88,0.3,11.7,100,123.0,72.1,102.0,325.24524679455055,122.508
2024-01-19 10:00:00,26.7,87,0.1,13.4,100,249.0,82.4,207.0,562.0731855565114,247.30679999999998
2024-01-19 11:00:00,27.9,80,0.0,15.1,100,394.0,184.6,266.0,754.4566259760593,389.42960000000005
2024-01-19 12:00:00,28.5,79,0.3,17.0,100,622.0,370.3,315.0,884.7337817405358,613.292
2024-01-19 13:00:00,28.3,83,1.1,14.9,100,569.0,220.4,369.0,942.5752149766089,561.4892
2024-01-19 14:00:00,28.5,79,1.0,17.0,100,641.0,251.1,409.0,923.5923879797774,632.026
2024-01-19 15:00:00,28.3,79,1.0,12.3,100,419.0,61.6,365.0,829.204120878008,413.4692
2024-01-19 16:00:00,26.9,82,4.8,13.8,100,418.0,106.6,336.0,666.6638698460346,414.82320000000004
2024-01-19 17:00:00,26.8,85,0.0,13.9,100,181.0,0.0,181.0,449.5145100694837,179.6968
2024-01-19 18:00:00,26.6,85,0.5,12.6,100,146.0,0.0,146.0,201.64206461760423,145.06560000000002
2024-01-19 19:00:00,25.8,88,0.1,9.7,100,58.0,34.3,52.0,6.102092982184095,57.8144
2024-01-20 08:00:00,23.5,97,2.5,8.0,100,3.0,0.0,3.0,81.23150349300356,3.018
2024-01-20 09:00:00,24.0,98,5.2,8.3,100,18.0,0.0,18.0,324.4266060046611,18.072
2024-01-20 10:00:00,24.1,98,6.1,6.9,100,55.0,0.0,55.0,561.7040305415616,55.198
2024-01-20 11:00:00,24.5,96,3.6,4.3,100,85.0,0.0,85.0,754.6001907894589,85.17
2024-01-20 12:00:00,24.8,92,4.4,2.6,100,115.0,1.2,114.0,885.384335165041,115.09199999999998
2024-01-20 13:00:00,25.0,90,2.0,2.6,100,139.0,0.0,139.0,943.6828943582753,139.0
2024-01-20 14:00:00,26.1,90,1.2,6.2,100,348.0,47.6,304.0,925.0721166137528,346.4688
2024-01-20 15:00:00,26.4,89,0.6,7.6,100,275.0,10.2,266.0,830.9426061565689,273.46
2024-01-20 16:00:00,25.2,91,1.5,8.9,100,212.0,3.9,209.0,668.5260637227541,211.8304
2024-01-20 17:00:00,25.0,93,1.1,8.3,100,83.0,0.0,83.0,451.34493719957476,83.0
2024-01-20 18:00:00,25.1,94,0.4,10.6,100,95.0,2.5,94.0,203.22241800102745,94.962
2024-01-20 19:00:00,24.7,94,0.4,10.5,100,32.0,0.0,32.0,6.473843103277113,32.0384
2024-01-21 08:00:00,22.9,98,0.0,6.2,100,24.0,18.1,22.0,80.34564141488987,24.2016
2024-01-21 09:00:00,25.1,93,0.0,4.7,100,178.0,258.6,103.0,323.66937655418945,177.9288
2024-01-21 10:00:00,27.0,84,0.0,8.0,99,416.0,518.1,152.0,561.3938939328541,412.672
2024-01-21 11:00:00,28.7,75,0.0,9.2,78,590.0,553.4,206.0,754.7949258971678,581.268
2024-01-21 12:00:00,29.8,71,0.0,12.0,58,800.0,750.2,177.0,886.0744571389857,784.64
2024-01-21 13:00:00,30.3,72,0.0,11.4,88,873.0,795.7,149.0,944.8159187745506,854.4924
2024-01-21 14:00:00,30.7,73,0.1,9.1,45,842.0,692.8,200.0,926.5614720788701,822.8023999999999
2024-01-21 15:00:00,28.9,75,3.9,12.0,91,830.0,748.9,171.0,832.6746965696902,817.052
